Course,,Comp,,Plan Enrol,Assigned Day,Assigned Start Time,Assigned Duration,Room Assigned,First Name,Last Name
,,,,,Thursday,8:30,1:30,E206,Faith-Michael,Uzoka
,,401,,30,Thursday,10:30,2:00,B162,Faith-Michael,Uzoka
,,2,,30,Monday,13:00,1:30,E206,Namrata,Khemka
,,,,,Wednesday,13:00,1:30,E206,Namrata,Khemka
,,402,,30,Thursday,12:30,2:00,B162,Namrata,Khemka
COMP2655,,1,,30,Monday,10:30,1:00,E206,Paul,Pospisil
,,,,,Wednesday,10:30,1:00,E206,Paul,Pospisil
,,,,,Friday,10:30,1:00,E206,Paul,Pospisil
,,401,,30,Tuesday,9:30,1:00,E203,Paul,Pospisil
,,,,,Thursday,9:30,1:00,E203,Paul,Pospisil
COMP2659,,1,,30,Monday,15:30,1:00,EA2070,Paul,Pospisil
,,,,,Tuesday,15:30,1:00,EA2070,Paul,Pospisil
,,,,,Thursday,15:30,1:00,EA2070,Paul,Pospisil
,,401,,30,Wednesday,14:30,1:00,E203,Paul,Pospisil
,,501,,30,Friday,8:30,1:00,E203,Paul,Pospisil
,,2,,30,Monday,14:30,1:00,E203,Marc,Schroeder
,,,,,Tuesday,14:30,1:00,E203,Marc,Schroeder
,,,,,Thursday,14:30,1:00,E203,Marc,Schroeder
,,402,,30,Tuesday,10:30,1:00,E203,Marc,Schroeder
,,502,,30,Friday,15:00,1:00,E203,Marc,Schroeder
COMP3012,,1,,35,Tuesday,19:00,3:00,E203,,
,,401,,35,Tuesday,17:00,1:00,E203,,
COMP3309,,1,,40,Tuesday,11:30,1:30,T239,Alan,Fedoruk
,,,,,Thursday,11:30,1:30,T239,Alan,Fedoruk
,,2,,40,Monday,13:00,1:30,T235,,
,,,,,Wednesday,13:00,1:30,T235,,
,,3,,40,Tuesday,8:30,1:30,T239,Randy,Connolly
,,,,,Thursday,8:30,1:30,T239,Randy,Connolly
COMP3505,,1,,40,Monday,13:00,1:30,E203,Yasaman,Amannejad
,,,,,Wednesday,13:00,1:30,E203,Yasaman,Amannejad
,,501,,20,Thursday,14:00,1:00,,Yasaman,Amannejad
,,502,,20,Thursday,15:00,1:00,,Yasaman,Amannejad
