course,section,section-capacity,dow,start-time,duration,room,first-name,last-name
COMP3012,1,35,Wednesday,18:30,3:00,E203,Jordan,Kidney
COMP3012,501,35,Tuesday,18:00,2:00,E203,Jordan,Kidney
COMP3012,401,35,Wednesday,17:30,1:00,E203,Jordan,Kidney
COMP3309,1,35,Friday,10:00,1:00,EC1150,Alan,Fedoruk
COMP3309,1,35,Thursday,10:00,1:00,EC1150,Alan,Fedoruk
COMP3309,1,35,Tuesday,10:00,1:00,EC1150,Alan,Fedoruk
COMP3309,2,35,Friday,11:30,1:00,T223,Patrick,Perri
COMP3309,2,35,Wednesday,11:30,1:00,T223,Patrick,Perri
COMP3309,2,35,Monday,11:30,1:00,T223,Patrick,Perri
COMP3512,1,40,Wednesday,13:00,1:30,T239,Randy,Connolly
COMP3512,1,40,Monday,13:00,1:30,T239,Randy,Connolly
COMP3512,401,20,Tuesday,11:30,1:00,E203,Randy,Connolly
COMP3512,402,20,Tuesday,12:30,1:00,E203,Randy,Connolly
COMP3532,1,40,Wednesday,14:30,1:30,Y318,Steve,Kalmar
COMP3532,1,40,Monday,14:30,1:30,Y318,Steve,Kalmar
COMP3532,501,20,Monday,11:30,1:00,B215,Steve,Kalmar
COMP3532,502,20,Monday,12:30,1:00,B215,Steve,Kalmar
COMP3533,1,32,Wednesday,11:30,1:30,EA2009,Mingwei,Gong
COMP3533,1,32,Monday,11:30,1:30,EA2009,Mingwei,Gong
COMP3533,501,16,Thursday,11:00,1:00,B215,Mingwei,Gong
COMP3533,502,16,Thursday,12:00,1:00,B215,Mingwei,Gong
COMP3553,1,30,Thursday,14:30,1:30,E103,Namrata,Khemka
COMP3553,1,30,Tuesday,14:30,1:30,E103,Namrata,Khemka
COMP3553,402,20,Thursday,9:30,1:00,E203,Namrata,Khemka
COMP3553,401,30,Thursday,13:30,1:00,E203,Namrata,Khemka
COMP3591,1,10,,,,,April,Lynch
COMP2659,1,25,Friday,10:00,1:00,EA2060,Marc,Schroeder
COMP2659,1,25,Wednesday,10:00,1:00,EA2060,Marc,Schroeder
COMP2659,1,25,Monday,10:00,1:00,EA2060,Marc,Schroeder
COMP2659,401,25,Thursday,10:30,1:00,E203,Marc,Schroeder
COMP2659,501,25,Tuesday,10:30,1:00,E203,Marc,Schroeder
COMP4513,1,35,Monday,8:30,1:30,EA1068,Randy,Connolly
COMP4513,1,35,Wednesday,8:30,1:30,EA1068,Randy,Connolly
COMP4522,1,35,Monday,10:00,1:30,Q306,Alan,Fedoruk
COMP4522,1,35,Wednesday,10:00,1:30,Q306,Alan,Fedoruk
COMP4543,1,35,Thursday,8:30,1:30,EA2062,Terri,Tibbel-Mosher
COMP4543,1,35,Tuesday,8:30,1:30,EA2062,Terri,Tibbel-Mosher
COMP5590,1,10,,,,,Alan,Fedoruk
MATH1102,1,35,Thursday,16:00,1:30,EA2057,Peter,Zizler
MATH1102,1,35,Tuesday,16:00,1:30,EA2057,Peter,Zizler
MATH1103,1,36,Thursday,13:00,1:30,B231,Roberta,La Haye
MATH1103,1,36,Tuesday,13:00,1:30,B231,Roberta,La Haye
MATH1200,1,48,Wednesday,14:30,1:30,B217,Laura,Marik
MATH1200,1,48,Monday,14:30,1:30,B217,Laura,Marik
MATH1200,1,48,Tuesday,14:30,1:00,B217,Laura,Marik
MATH1200,401,24,Friday,12:30,1:00,B231,Laura,Marik
MATH1200,402,24,Friday,11:30,1:00,B231,Laura,Marik
MATH1200,2,48,Friday,10:00,1:30,EA1014,Ganesh,Bhandari
MATH1200,2,48,Wednesday,10:00,1:30,EA1014,Ganesh,Bhandari
MATH1200,2,48,Thursday,10:00,1:00,EA1014,Ganesh,Bhandari
MATH1200,403,24,Friday,15:00,1:00,B231,Ganesh,Bhandari
MATH1200,404,24,Friday,14:00,1:00,B231,Ganesh,Bhandari
MATH1200,3,48,Wednesday,11:30,1:30,EA1014,Mariya,Svishchuk
MATH1200,3,48,Monday,11:30,1:30,EA1014,Mariya,Svishchuk
MATH1200,3,48,Thursday,11:30,1:00,EA1014,Mariya,Svishchuk
MATH1200,405,24,Friday,10:30,1:00,B231,Mariya,Svishchuk
MATH1200,406,24,Friday,8:30,1:00,B231,Mariya,Svishchuk
MATH1200,4,48,Thursday,8:30,1:30,B217,Laura,Marik
MATH1200,4,48,Tuesday,8:30,1:30,B217,Laura,Marik
MATH1200,4,48,Friday,8:30,1:00,B217,Laura,Marik
MATH1200,407,24,Wednesday,9:30,1:00,B231,Laura,Marik
MATH1200,408,24,Friday,9:30,1:00,B231,Laura,Marik
MATH1203,1,45,Wednesday,11:30,1:30,X305,Peter,Zizler
MATH1203,1,45,Monday,11:30,1:30,X305,Peter,Zizler
MATH1203,401,45,Friday,16:00,1:00,X305,Peter,Zizler
MATH1203,2,45,Wednesday,14:30,1:30,Y314,Ian,Lovatt
MATH1203,2,45,Monday,14:30,1:30,Y314,Ian,Lovatt
MATH1203,402,45,Thursday,16:00,1:00,T223,Ian,Lovatt
MATH1205,1,36,Thursday,10:00,1:30,EA1010,Indrajit,Lagu
MATH1205,1,36,Tuesday,10:00,1:30,EA1010,Indrajit,Lagu
MATH1205,2,36,Wednesday,14:30,1:30,B231,Collette,Lemieux
MATH1205,2,36,Monday,14:30,1:30,B231,Collette,Lemieux
MATH1271,1,50,Wednesday,14:30,1:30,W231,Roberta ,La Haye
MATH1271,1,50,Monday,14:30,1:30,W231,Roberta ,La Haye
MATH1271,401,25,Friday,14:30,1:00,B202,Roberta ,La Haye
MATH1271,402,25,Tuesday,15:00,1:00,B231,Roberta ,La Haye
MATH1505,1,46,Thursday,13:00,1:30,I122,Indrajit,Lagu
MATH1505,1,46,Tuesday,13:00,1:30,I122,Indrajit,Lagu
MATH1505,401,23,Tuesday,15:00,1:00,T134,Indrajit,Lagu
MATH1505,402,23,Friday,14:30,1:00,T134,Indrajit,Lagu
MATH2101,1,25,Thursday,16:00,1:30,T234,Pamini,Thangarajah
MATH2101,1,25,Tuesday,16:00,1:30,T234,Pamini,Thangarajah
MATH2101,401,25,Monday,13:00,1:00,W207,Pamini,Thangarajah
MATH2150,1,30,Thursday,11:30,1:30,T230,Pamini,Thangarajah
MATH2150,1,30,Tuesday,11:30,1:30,T230,Pamini,Thangarajah
MATH2200,1,40,Wednesday,11:30,1:30,T235,Indrajit,Lagu
MATH2200,1,40,Monday,11:30,1:30,T235,Indrajit,Lagu
MATH2200,401,40,Friday,13:30,1:00,EB1018,Indrajit,Lagu
MATH2200,2,40,Wednesday,16:00,1:30,T137,Digby,Smith
MATH2200,2,40,Monday,16:00,1:30,T137,Digby,Smith
MATH2200,402,40,Tuesday,10:00,1:00,EB1018,Indrajit,Lagu
MATH2233,1,36,Wednesday,11:30,1:30,Y214,Shawn,Liu
MATH2233,1,36,Monday,11:30,1:30,Y214,Shawn,Liu
MATH2233,401,36,Monday,14:30,2:00,E203,Shawn,Liu
MATH2233,2,36,Wednesday,8:30,1:30,T231,TBA,MATH
MATH2233,2,36,Monday,8:30,1:30,T231,TBA,MATH
MATH2233,402,36,Tuesday,14:30,2:00,EB1011,TBA,MATH
MATH2333,1,36,Thursday,14:30,1:30,B202,Shawn,Liu
MATH2333,1,36,Tuesday,14:30,1:30,B202,Shawn,Liu
MATH2333,401,36,Monday,13:00,1:00,EB1011,Shawn,Liu
MATH2444,1,14,Wednesday,10:00,1:30,B173,Ashok,Krishnamurthy
MATH2444,1,14,Friday,10:00,1:30,B173,Ashok,Krishnamurthy
MATH2444,401,14,Wednesday,9:00,1:00,B173,Ashok,Krishnamurthy
MATH2444,501,14,Friday,9:00,1:00,B173,Ashok,Krishnamurthy
MATH3200,1,25,Monday,16:00,1:30,T225,Brady,Killough
MATH3200,1,25,Wednesday,16:00,1:30,T225,Brady,Killough
MATH3200,401,25,Tuesday,10:00,Tuesday,T231,Brady,Killough
ENVS1105,1,25,Thursday,13:00,1:30,Y314,Ashok,Krishnamurthy
ENVS1105,1,25,Tuesday,13:00,1:30,Y314,Ashok,Krishnamurthy
ENVS1105,501,25,Thursday,14:30,2:00,B173,Ashok,Krishnamurthy
ENVS1105,502,25,Thursday,10:30,2:00,B173,Ashok,Krishnamurthy
ENVS1105,503,25,Tuesday,14:30,2:00,B173,Ashok,Krishnamurthy
PHIL1179,1,42,Wednesday,13:00,1:30,EC1170,TBA2,PHIL TBA2
PHIL1179,1,42,Monday,13:00,1:30,EC1170,TBA2,PHIL TBA2
PHIL1179,401,42,Thursday,13:00,1:00,EB2138,TBA2,PHIL TBA2
PHIL1179,2,42,Wednesday,16:00,1:30,EB2138,TBA2,PHIL TBA2
PHIL1179,2,42,Monday,16:00,1:30,EB2138,TBA2,PHIL TBA2
PHIL1179,402,42,Thursday,16:00,1:00,EC1160,TBA2,PHIL TBA2
GNED 1101,6,40,Tuesday,11:30,1:30,T241,Peter,Zizler
GNED 1101,6,40,Thursday,11:30,1:30,T241,Peter,Sizler
GNED 1101,20,40,Monday,16:00,1:30,T241,Laura,Marik
GNED 1101,20,40,Wednesday,16:00,1:30,T241,Laura,Marik
GNED 1103,1,40,Tuesday,11:30,1:30,B211,Laura,Marik
GNED 1103,1,40,Thursday,11:30,1:30,B211,Laura,Marik
GNED 1202,11,40,Monday,10:00,1:30,B211,Randy,Connolly
GNED 1202,11,40,Wednesday,10:00,1:30,B211,Randy,Connolly
