Course ID,CRN,Department,Course Title,Cr Hr,Typ,Days,From-Time,To-Time,Start-Date To End-Date,Bldg,Room,Max_Enr,PoT,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Comment,,,,,,,
MATH-0130-001,11465,MATHEMATICS & COMPUTING,Pre-Calculus,0,LEC,M W,0830am,1020am,06-JAN-21 To 24-APR-21,LP,B219,45,1,TBA,,,,Lecture 001 take tutorial 401 or 402.,,,,,,,
MATH-0130-001,11465,MATHEMATICS & COMPUTING,Pre-Calculus,0,LEC,F,0830am,0920am,06-JAN-21 To 24-APR-21,LP,B219,45,1,TBA,,,,Lecture 001 take tutorial 401 or 402.,,,,,,,
MATH-0130-002,11466,MATHEMATICS & COMPUTING,Pre-Calculus,0,LEC,T R,0830am,1050am,06-JAN-21 To 24-APR-21,LP,B217,50,1,TBA,,,,Lecture 002 take tutorial 403 or 404.,,,,,,,
MATH-0130-003,11467,MATHEMATICS & COMPUTING,Pre-Calculus,0,LEC,M W,1230pm,1420pm,06-JAN-21 To 24-APR-21,LP,B219,50,1,TBA,,,,Lecture 003 take tutorial 405 or 406,,,,,,,
MATH-0130-003,11467,MATHEMATICS & COMPUTING,Pre-Calculus,0,LEC,F,1230pm,1320pm,06-JAN-21 To 24-APR-21,LP,B219,50,1,TBA,,,,Lecture 003 take tutorial 405 or 406,,,,,,,
MATH-0130-004,11468,MATHEMATICS & COMPUTING,Pre-Calculus,0,LEC,M W,1600pm,1820pm,06-JAN-21 To 24-APR-21,LP,B219,50,1,TBA,,,,Lecture 004 take tutorial 407 or 408.,,,,,,,
MATH-0130-005,11469,MATHEMATICS & COMPUTING,Pre-Calculus,0,LEC,M W,1800pm,2020pm,06-JAN-21 To 24-APR-21,LP,O222,50,1,TBA,,,,Lecture 005 take tutorial 409 or 410.,,,,,,,
MATH-0130-065,11470,MATHEMATICS & COMPUTING,Pre-Calculus,0,LEC,M W,0830am,1020am,06-JAN-21 To 24-APR-21,LP,B219,5,1,TBA,,,,RESTRICTION: Indigenous University Bridging Program | Lecture 065 take tutorial 465.,,,,,,,
MATH-0130-065,11470,MATHEMATICS & COMPUTING,Pre-Calculus,0,LEC,F,0830am,0920am,06-JAN-21 To 24-APR-21,LP,B219,5,1,TBA,,,,RESTRICTION: Indigenous University Bridging Program | Lecture 065 take tutorial 465.,,,,,,,
MATH-0130-401,11471,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,0930am,1020am,06-JAN-21 To 24-APR-21,LP,B231,20,1,TBA,,,,,,,,,,,
MATH-0130-402,11472,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1030am,1120am,06-JAN-21 To 24-APR-21,LP,B231,25,1,TBA,,,,,,,,,,,
MATH-0130-403,11473,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1330pm,1420pm,06-JAN-21 To 24-APR-21,LP,B217,25,1,TBA,,,,,,,,,,,
MATH-0130-404,11474,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1230pm,1320pm,06-JAN-21 To 24-APR-21,LP,B217,25,1,TBA,,,,,,,,,,,
MATH-0130-405,11475,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1130am,1220pm,06-JAN-21 To 24-APR-21,LP,B219,25,1,TBA,,,,,,,,,,,
MATH-0130-406,11476,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1430pm,1520pm,06-JAN-21 To 24-APR-21,LP,B219,25,1,TBA,,,,,,,,,,,
MATH-0130-407,11477,MATHEMATICS & COMPUTING,Tutorial,0,TUT,W,1830pm,1920pm,06-JAN-21 To 24-APR-21,LP,B219,25,1,TBA,,,,,,,,,,,
MATH-0130-408,11478,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1830pm,1920pm,06-JAN-21 To 24-APR-21,LP,B219,25,1,TBA,,,,,,,,,,,
MATH-0130-409,11479,MATHEMATICS & COMPUTING,Tutorial,0,TUT,W,2030pm,2120pm,06-JAN-21 To 24-APR-21,LP,O222,25,1,TBA,,,,,,,,,,,
MATH-0130-410,11480,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,2030pm,2120pm,06-JAN-21 To 24-APR-21,LP,O222,25,1,TBA,,,,,,,,,,,
MATH-0130-465,11481,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,0930am,1020am,06-JAN-21 To 24-APR-21,LP,B231,5,1,TBA,,,,,,,,,,,
MATH-0131-001,11482,MATHEMATICS & COMPUTING,Calculus and Matrices,0,LEC,W,1430pm,1520pm,06-JAN-21 To 24-APR-21,LP,Y316,40,1,TBA,,,,,,,,,,,
MATH-0131-001,11482,MATHEMATICS & COMPUTING,Calculus and Matrices,0,LEC,T R,1430pm,1620pm,06-JAN-21 To 24-APR-21,LP,Y316,40,1,TBA,,,,,,,,,,,
MATH-0132-001,11483,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,M W,1230pm,1420pm,06-JAN-21 To 24-APR-21,LP,B217,50,1,TBA,,,,Lecture 001 take Tutorial 401 or 402.,,,,,,,
MATH-0132-001,11483,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,F,1230pm,1320pm,06-JAN-21 To 24-APR-21,LP,B217,50,1,TBA,,,,Lecture 001 take Tutorial 401 or 402.,,,,,,,
MATH-0132-002,11484,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,M W,0830am,1020am,06-JAN-21 To 24-APR-21,LP,O222,50,1,TBA,,,,Lecture 002 take Tutorial 403 or 404.,,,,,,,
MATH-0132-002,11484,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,F,0830am,0920am,06-JAN-21 To 24-APR-21,LP,O222,50,1,TBA,,,,Lecture 002 take Tutorial 403 or 404.,,,,,,,
MATH-0132-003,11485,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,T R,1000am,1220pm,06-JAN-21 To 24-APR-21,LP,B219,50,1,TBA,,,,Lecture 003 take Tutorial 405 or 406.,,,,,,,
MATH-0132-004,11486,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,T R,1800pm,2020pm,06-JAN-21 To 24-APR-21,LP,O218,50,1,TBA,,,,Lecture 004 take Tutorial 407 or 408.,,,,,,,
MATH-0132-005,11487,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,T R,1600pm,1820pm,06-JAN-21 To 24-APR-21,LP,B219,50,1,TBA,,,,Lecture 005 take Tutorial 409 or 410.,,,,,,,
MATH-0132-065,11488,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,M W,1100am,1250pm,06-JAN-21 To 24-APR-21,LP,E125,30,1,TBA,,,,RESTRICTION: Indigenous University Bridging Program | Lecture 065 take Tutorial 465.,,,,,,,
MATH-0132-065,11488,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,F,1100am,1150am,06-JAN-21 To 24-APR-21,LP,E125,30,1,TBA,,,,RESTRICTION: Indigenous University Bridging Program | Lecture 065 take Tutorial 465.,,,,,,,
MATH-0132-401,11489,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1330pm,1420pm,06-JAN-21 To 24-APR-21,LP,B217,25,1,TBA,,,,,,,,,,,
MATH-0132-402,11490,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1130am,1220pm,06-JAN-21 To 24-APR-21,LP,B217,25,1,TBA,,,,,,,,,,,
MATH-0132-403,11491,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,0900am,0950am,06-JAN-21 To 24-APR-21,LP,Y316,25,1,TBA,,,,,,,,,,,
MATH-0132-404,11492,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,0900am,0950am,06-JAN-21 To 24-APR-21,LP,T241,25,1,TBA,,,,,,,,,,,
MATH-0132-405,11493,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1330pm,1420pm,06-JAN-21 To 24-APR-21,LP,B222,25,1,TBA,,,,,,,,,,,
MATH-0132-406,11494,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1330pm,1420pm,06-JAN-21 To 24-APR-21,LP,E125,25,1,TBA,,,,,,,,,,,
MATH-0132-407,11495,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,2030pm,2120pm,06-JAN-21 To 24-APR-21,LP,O218,25,1,TBA,,,,,,,,,,,
MATH-0132-408,11496,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,2030pm,2120pm,06-JAN-21 To 24-APR-21,LP,O218,25,1,TBA,,,,,,,,,,,
MATH-0132-409,11497,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1830pm,1920pm,06-JAN-21 To 24-APR-21,LP,B219,25,1,TBA,,,,,,,,,,,
MATH-0132-410,11498,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1830pm,1920pm,06-JAN-21 To 24-APR-21,LP,B219,25,1,TBA,,,,,,,,,,,
MATH-0132-465,11499,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1000am,1050am,06-JAN-21 To 24-APR-21,LP,E125,30,1,TBA,,,,,,,,,,,
MATH-1102-001,11500,MATHEMATICS & COMPUTING,Introduction to Geometry,3,LEC,T R,1300pm,1420pm,06-JAN-21 To 24-APR-21,LP,B219,35,1,La Haye R,,,,,,,,,,,
MATH-1103-001,11501,MATHEMATICS & COMPUTING,Intro.  Statistical Reasoning,3,LEC,M W,1130am,1250pm,06-JAN-21 To 24-APR-21,LP,B202,35,1,Zizler P,,,,RESTRICTION: Bachelor of Communication - Broadcast Media Studies |,,,,,,,
MATH-1200-001,11502,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,M W,1430pm,1550pm,06-JAN-21 To 24-APR-21,LP,T223,48,1,Bhandari G,,,,RESTRICTION: Bachelor of Science | Lecture 001 take tutorial 401 or 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-1200-001,11502,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,T,1430pm,1520pm,06-JAN-21 To 24-APR-21,EA,EA1026,48,1,Bhandari G,,,,RESTRICTION: Bachelor of Science | Lecture 001 take tutorial 401 or 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-1200-002,11503,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,W F,1000am,1120am,06-JAN-21 To 24-APR-21,LP,T223,48,1,Videla C,,,,RESTRICTION: Bachelor of Science | Lecture 002 take tutorial 403 or 404.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-1200-002,11503,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,R,1000am,1050am,06-JAN-21 To 24-APR-21,LP,T223,48,1,Videla C,,,,RESTRICTION: Bachelor of Science | Lecture 002 take tutorial 403 or 404.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-1200-003,11504,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,T R,1600pm,1720pm,06-JAN-21 To 24-APR-21,LP,T223,48,1,TBA,,,,RESTRICTION: Bachelor of Science | Lecture 003 take tutorial 405 or 406.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-1200-003,11504,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,F,1600pm,1650pm,06-JAN-21 To 24-APR-21,LP,T223,48,1,TBA,,,,RESTRICTION: Bachelor of Science | Lecture 003 take tutorial 405 or 406.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-1200-004,11505,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,M W,1600pm,1720pm,06-JAN-21 To 24-APR-21,EA,EA2031,48,1,TBA,,,,Lecture 004 take tutorial 407 or 408.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-1200-004,11505,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,T,1600pm,1650pm,06-JAN-21 To 24-APR-21,EA,EA2031,48,1,TBA,,,,Lecture 004 take tutorial 407 or 408.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-1200-401,11507,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1200pm,1250pm,06-JAN-21 To 24-APR-21,LP,B217,24,1,Bhandari G,,,,,,,,,,,
MATH-1200-402,11508,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1300pm,1350pm,06-JAN-21 To 24-APR-21,LP,B217,24,1,Bhandari G,,,,,,,,,,,
MATH-1200-403,11509,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1230pm,1320pm,06-JAN-21 To 24-APR-21,LP,E125,24,1,Videla C,,,,,,,,,,,
MATH-1200-404,11510,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1330pm,1420pm,06-JAN-21 To 24-APR-21,LP,E125,24,1,Videla C,,,,,,,,,,,
MATH-1200-405,11511,MATHEMATICS & COMPUTING,Tutorial,0,TUT,W,0830am,0920am,06-JAN-21 To 24-APR-21,LP,B231,24,1,TBA,,,,,,,,,,,
MATH-1200-406,11512,MATHEMATICS & COMPUTING,Tutorial,0,TUT,W,0930am,1020am,06-JAN-21 To 24-APR-21,LP,B231,24,1,TBA,,,,,,,,,,,
MATH-1200-407,11513,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1500pm,1550pm,06-JAN-21 To 24-APR-21,LP,B222,24,1,TBA,,,,,,,,,,,
MATH-1200-408,11514,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1600pm,1650pm,06-JAN-21 To 24-APR-21,LP,B222,24,1,TBA,,,,,,,,,,,
MATH-1203-001,11517,MATHEMATICS & COMPUTING,Algebra for Scientists & Engr,3,LEC,M W,1130am,1250pm,06-JAN-21 To 24-APR-21,LP,Y314,45,1,Svishchuk M,,,,RESTRICTION: Bachelor of Science | Lecture 001 take tutorial 401.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-1203-002,11518,MATHEMATICS & COMPUTING,Algebra for Scientists & Engr,3,LEC,T R,0830am,0950am,06-JAN-21 To 24-APR-21,LP,O222,45,1,Videla C,,,,RESTRICTION: Bachelor of Science | Lecture 002 take tutorial 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-1203-401,11519,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1300pm,1350pm,06-JAN-21 To 24-APR-21,LP,T223,45,1,Svishchuk M,,,,,,,,,,,
MATH-1203-402,11520,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1100am,1150am,06-JAN-21 To 24-APR-21,LP,B217,45,1,Videla C,,,,,,,,,,,
MATH-1205-001,11521,MATHEMATICS & COMPUTING,The Beauty of Mathematics,3,LEC,T R,1430pm,1550pm,06-JAN-21 To 24-APR-21,LP,O222,36,1,Lagu I,,,,,,,,,,,
MATH-1205-002,11522,MATHEMATICS & COMPUTING,The Beauty of Mathematics,3,LEC,M W,1300pm,1420pm,06-JAN-21 To 24-APR-21,LP,B231,36,1,Zizler P,,,,,,,,,,,
MATH-1505-001,11523,MATHEMATICS & COMPUTING,Puzzling Adventures in Math,3,LEC,T R,1430pm,1550pm,06-JAN-21 To 24-APR-21,LP,T223,46,1,Killough D,,,,Lecture 001 take tutorial 401 or 402.,,,,,,,
MATH-1505-002,11524,MATHEMATICS & COMPUTING,Puzzling Adventures in Math,3,LEC,T R,0830am,0950am,06-JAN-21 To 24-APR-21,LP,O226,46,1,Lagu I,,,,Lecture 002 take tutorial 403 or 404.,,,,,,,
MATH-1505-401,11525,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1330pm,1420pm,06-JAN-21 To 24-APR-21,LP,T134,23,1,Killough D,,,,,,,,,,,
MATH-1505-402,11526,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1100am,1150am,06-JAN-21 To 24-APR-21,LP,E131,23,1,Killough D,,,,,,,,,,,
MATH-1505-403,11527,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,0930am,1020am,06-JAN-21 To 24-APR-21,LP,E131,23,1,Lagu I,,,,,,,,,,,
MATH-1505-404,11528,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,0900am,0950am,06-JAN-21 To 24-APR-21,LP,E131,23,1,Lagu I,,,,,,,,,,,
MATH-2101-001,11529,MATHEMATICS & COMPUTING,Abstract Algebra,3,LEC,M W,1130am,1250pm,06-JAN-21 To 24-APR-21,LP,Y210,25,1,Thangarajah P,,,,Lecture 001 take tutorial 401.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-2101-401,11530,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1000am,1050am,06-JAN-21 To 24-APR-21,LP,E125,25,1,Thangarajah P,,,,,,,,,,,
MATH-2150-001,11531,MATHEMATICS & COMPUTING,Higher Arithmetic,3,LEC,T R,1130am,1250pm,06-JAN-21 To 24-APR-21,LP,E123,30,1,Lagu I,,,,Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-2200-001,11532,MATHEMATICS & COMPUTING,Calculus for Scientists II,3,LEC,M W,1130am,1250pm,06-JAN-21 To 24-APR-21,LP,T235,40,1,Killough D,,,,Lecture 001 take tutorial 401.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-2200-002,11533,MATHEMATICS & COMPUTING,Calculus for Scientists II,3,LEC,M W,0830am,0950am,06-JAN-21 To 24-APR-21,LP,T137,40,1,Thangarajah P,,,,Lecture 002 take tutorial 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-2200-401,11534,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1300pm,1350pm,06-JAN-21 To 24-APR-21,LP,T239,40,1,Killough D,,,,,,,,,,,
MATH-2200-402,11535,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,0830am,0920am,06-JAN-21 To 24-APR-21,LP,T137,40,1,Thangarajah P,,,,,,,,,,,
MATH-2233-001,11536,MATHEMATICS & COMPUTING,Statistics for Biol Sciences,3,LEC,M W,1430pm,1550pm,06-JAN-21 To 24-APR-21,LP,B231,36,1,Liu S,,,,Lecture 001 take tutorial 401.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-2233-002,11537,MATHEMATICS & COMPUTING,Statistics for Biol Sciences,3,LEC,T R,1000am,1120am,06-JAN-21 To 24-APR-21,LP,T225,36,1,Bhandari G,,,,Lecture 002 take tutorial 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-2233-401,11538,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,0830am,1020am,06-JAN-21 To 24-APR-21,EB,EB1011,36,1,Liu S,,,,,,,,,,,
MATH-2233-402,11539,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1430pm,1620pm,06-JAN-21 To 24-APR-21,EB,EB1011,36,1,Bhandari G,,,,,,,,,,,
MATH-2234-001,11540,MATHEMATICS & COMPUTING,Concepts of Mathematical Stats,3,LEC,M W,1030am,1220pm,06-JAN-21 To 24-APR-21,LP,Y316,40,1,Krishnamurthy A,,,,Lecture 001 take lab 501.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-2234-501,11541,MATHEMATICS & COMPUTING,Laboratory,0,LAB,R,1130am,1220pm,06-JAN-21 To 24-APR-21,LP,E203,40,1,Krishnamurthy A,,,,,,,,,,,
MATH-2303-001,12495,MATHEMATICS & COMPUTING,Topics in Applied Mathematics,3,LEC,T R,1300pm,1420pm,06-JAN-21 To 24-APR-21,LP,B231,30,1,Zizler P,,,,Lecture 001 take lab 501.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-2303-501,12496,MATHEMATICS & COMPUTING,Laboratory,0,LAB,W,1630pm,1820pm,06-JAN-21 To 24-APR-21,LP,T230,30,1,Zizler P,,,,,,,,,,,
MATH-2333-001,11542,MATHEMATICS & COMPUTING,Statistics for Life Sciences,3,LEC,T R,1600pm,1720pm,06-JAN-21 To 24-APR-21,LP,B220,40,1,Liu S,,,,RESTRICTION: Bachelor of Nursing and Bachelor of Midwifery | Lecture 001 take tutorial 401.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.ht m for details.,,,,,,,
MATH-2333-401,11543,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1430pm,1520pm,06-JAN-21 To 24-APR-21,LP,E151,40,1,Liu S,,,,,,,,,,,
MATH-2444-001,11544,MATHEMATICS & COMPUTING,Statistical Data Analysis,3,LEC,M W,1600pm,1720pm,06-JAN-21 To 24-APR-21,LP,E123,20,1,Krishnamurthy A,,,,Lecture 001 take tutorial 401 and lab 501.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-2444-401,11545,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,0830am,0920am,06-JAN-21 To 24-APR-21,LP,B231,20,1,Krishnamurthy A,,,,,,,,,,,
MATH-2444-501,11546,MATHEMATICS & COMPUTING,Laboratory,0,LAB,T,0830am,0920am,06-JAN-21 To 24-APR-21,LP,T130,20,1,Krishnamurthy A,,,,,,,,,,,
MATH-3200-001,11547,MATHEMATICS & COMPUTING,Mathematical Methods,3,LEC,M W,1600pm,1720pm,06-JAN-21 To 24-APR-21,LP,T234,25,1,Svishchuk M,,,,Lecture 001 take tutorial 401.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
MATH-3200-401,11548,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1130am,1220pm,06-JAN-21 To 24-APR-21,LP,T130,25,1,Svishchuk M,,,,,,,,,,,
ENVS-1105-001,10874,Environmental Science,Data Processing and Statistics,3,LEC,T R,1130am,1250pm,06-JAN-21 To 24-APR-21,LP,EB3134,45,1,La Haye R,,,,,,,,,,,
ENVS-1105-501,10874,Environmental Science,Data Processing and Statistics,3,LAB,W,1030am,1220pm,06-JAN-21 To 24-APR-21,LP,EB1015,15,1,La Haye R,,,,,,,,,,,
ENVS-1105-502,10874,Environmental Science,Data Processing and Statistics,3,LAB,M,1230pm,220pm,06-JAN-21 To 24-APR-21,LP,EB1015,15,1,La Haye R,,,,,,,,,,,
ENVS-1105-503,10874,Environmental Science,Data Processing and Statistics,3,LAB,R,0830am,1020am,06-JAN-21 To 24-APR-21,LP,EB1015,15,1,La Haye R,,,,,,,,,,,
PHIL1179-001,11762,Philosophy,Introduction-Symbolic Logic,3,LEC,M W,1300pm,1420pm,06-JAN-21 To 24-APR-21,LP,T219,42,1,TBA,,,,,,,,,,,
PHIL1179-001,11762,Philosophy,Introduction-Symbolic Logic,3,LEC,M W,1300pm,1420pm,06-JAN-21 To 24-APR-21,LP,T220,42,1,TBA,,,,,,,,,,,
PHIL1179-401,11764,Philosophy,Introduction-Symbolic Logic,3,TUT,R,0900am,0950am,06-JAN-21 To 24-APR-21,LP,T221,42,1,TBA,,,,,,,,,,,
PHIL1179-002,11763,Philosophy,Introduction-Symbolic Logic,3,LEC,M W,0830am,0950am,06-JAN-21 To 24-APR-21,LP,T222,42,1,TBA,,,,,,,,,,,
PHIL1179-002,11763,Philosophy,Introduction-Symbolic Logic,3,LEC,M W,0830am,0950am,06-JAN-21 To 24-APR-21,LP,T223,42,1,TBA,,,,,,,,,,,
PHIL1179-402,11765,Philosophy,Introduction-Symbolic Logic,3,TUT,R,1100am,1150am,06-JAN-21 To 24-APR-21,LP,T224,42,1,TBA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
