Course ID,CRN,Department,Course Title,Cr Hr,Typ,Days,From-Time,To-Time,Start-Date To End-Date,Bldg,Room,Max_Enr,PoT,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Comment,,,,,,,
COMP-1615-001,10561,MATHEMATICS & COMPUTING,Introduction to Programming,3,LEC,M W,0830am,0950am,06-JAN-21 To 24-APR-21,LP,E203,35,1,TBA,,,,Lecture 001 take tutorial 401.,,,,,,,
COMP-1615-401,10562,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1130am,1220pm,06-JAN-21 To 24-APR-21,LP,E203,35,1,TBA,,,,,,,,,,,
COMP-1633-001,10563,MATHEMATICS & COMPUTING,Intro Computer Science II,3,LEC,M T R,1200pm,1250pm,06-JAN-21 To 24-APR-21,LP,E133,60,1,Pospisil P,,,,RESTRICTION: Bachelor of Science - Computer Science | Lecture 001 take one of tutorials 401-403.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/ind ex.htm for details.,,,,,,,
COMP-1633-401,10564,MATHEMATICS & COMPUTING,Tutorial,0,TUT,W F,1200pm,1250pm,06-JAN-21 To 24-APR-21,LP,B162,20,1,Pospisil P,,,,,,,,,,,
COMP-1633-402,10565,MATHEMATICS & COMPUTING,Tutorial,0,TUT,W F,1100am,1150am,06-JAN-21 To 24-APR-21,LP,B162,20,1,Pospisil P,,,,,,,,,,,
COMP-1633-403,10566,MATHEMATICS & COMPUTING,Tutorial,0,TUT,W F,1000am,1050am,06-JAN-21 To 24-APR-21,LP,B162,20,1,Pospisil P,,,,,,,,,,,
COMP-2001-001,10567,MATHEMATICS & COMPUTING,Prgramming for the Sciences,3,LEC,M W F,1030am,1120am,06-JAN-21 To 24-APR-21,LP,B219,50,1,Perri P,,,,RESTRICTION: Bachelor of Science | Lecture 001 take tutorial 401 or 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-2001-401,10568,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T R,1030am,1120am,06-JAN-21 To 24-APR-21,LP,B162,25,1,Perri P,,,,,,,,,,,
COMP-2001-402,10569,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T R,1530pm,1620pm,06-JAN-21 To 24-APR-21,LP,B162,25,1,Perri P,,,,,,,,,,,
COMP-2008-001,10570,MATHEMATICS & COMPUTING,Sci Comp I: Mod & Sim,3,LEC,M W,1300pm,1420pm,06-JAN-21 To 24-APR-21,LP,T235,40,1,Hepler C,,,,RESTRICTION: Bachelor of Science | Lecture 001 take tutorial 401 or 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-2008-401,10571,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1630pm,1720pm,06-JAN-21 To 24-APR-21,LP,E203,20,1,Hepler C,,,,,,,,,,,
COMP-2008-402,10572,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1630pm,1720pm,06-JAN-21 To 24-APR-21,LP,E203,20,1,Hepler C,,,,,,,,,,,
